Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2004,Derek Abney,Kentucky,WR,69,179,,4.58,,33.5,120,4.09,6.92
2004,Nathaniel Adibi,Virginia Tech,DE,75,254,,4.65,,33.0,118,4.36,
2004,Roc Alexander,Washington,CB,71,185,,4.35,,39.5,125,4.23,6.97
2004,Rich Alexis,Washington,RB,73,210,,4.64,,32.0,114,4.49,7.42
2004,Jared Allen,Idaho State,DE,78,265,,4.72,13,33.0,120,4.34,7.11
2004,Marcell Allmond,Southern California,CB,73,209,,4.59,21,38.0,123,4.34,7.37
2004,Courtney Anderson,San Jose State,TE,78,269,,4.89,17,30.0,106,4.54,7.86
2004,Shawn Andrews,Arkansas,OT,76,366,,5.49,27,25.0,98,4.93,8.26
2004,Stacy Andrews,Mississippi,OT,78,342,,5.07,34,30.5,106,4.81,8.11
2004,Matthias Askew,Michigan State,DT,78,308,,5.20,20,27.0,101,4.42,7.55
2004,Jason Babin,Western Michigan,DE,75,260,,4.62,28,34.0,121,4.14,7.03
2004,Rashad Baker,Tennessee,FS,71,204,,4.50,21,36.0,117,4.15,7.21
2004,Dave Ball,UCLA,DE,78,277,,*5.07,24,,,,
2004,Jacob Bell,Miami (OH),OG,77,302,,5.22,26,,,,
2004,Tatum Bell,Oklahoma State,RB,71,212,,4.37,25,38.5,117,,
2004,Bernard Berrian,Fresno State,WR,73,183,,4.58,,38.0,128,4.21,7.34
2004,Ryon Bingham,Nebraska,DT,76,303,,5.09,33,30.0,109,4.38,7.44
2004,Bobby Blizzard,North Carolina,TE,76,266,,4.89,12,,102,,
2004,Colby Bockwoldt,BYU,OLB,74,230,,4.60,14,34.0,112,4.07,7.12
2004,Ryan Boschetti,UCLA,DT,77,306,,5.06,,29.5,110,4.27,7.41
2004,Michael Boulware,Florida State,OLB,74,225,,*4.50,,,,3.96,6.91
2004,Jon Bradley,Arkansas State,DT,73,306,,5.09,19,26.5,104,4.85,7.88
2004,Maurice Brown,Iowa,WR,73,219,,4.56,,33.0,117,4.25,7.38
2004,Rufus Brown,Florida State,CB,69,187,,4.43,15,33.0,124,4.44,7.24
2004,Tony Bua,Arkansas,SS,71,209,,4.67,15,36.0,120,4.10,6.76
2004,Sean Bubin,Illinois,OT,79,306,,5.32,25,24.5,97,4.78,7.68
2004,Josh Buhl,Kansas State,OLB,71,204,,4.73,,29.0,114,4.33,7.27
2004,Kelly Butler,Purdue,OT,80,324,,5.11,,30.5,105,4.96,7.97
2004,Darrell Campbell,Notre Dame,DT,76,302,,5.18,25,33.0,111,4.66,7.63
2004,Dietrich Canterberry,UNLV,DT,75,308,,*5.35,26,,,,
2004,Vernon Carey,Miami,OG,77,335,,*5.32,30,,,,
2004,Ahmad Carroll,Arkansas,CB,70,195,,4.34,15,41.0,128,,
2004,Jordan Carstens,Iowa State,DT,78,305,,5.00,28,28.5,106,4.80,8.35
2004,Ran Carthon,Florida,RB,73,215,,4.51,22,34.5,112,4.22,
2004,Marko Cavka,Sacramento State (CA),OT,79,294,,5.17,27,27.5,107,4.40,7.57
2004,Toby Cecil,Texas Tech,C,76,297,,*5.25,19,,85,5.03,8.33
2004,Kirk Chambers,Stanford,OT,79,313,,5.44,22,27.0,101,4.51,7.58
2004,Ahmad Childress,Alabama,DT,78,351,,5.28,,22.0,86,4.94,8.75
2004,Brandon Chillar,UCLA,OLB,75,253,,4.71,23,33.0,115,4.09,
2004,Quinn Christensen,BYU,OG,78,312,,*5.10,32,,,,
2004,Tyson Clabo,Wake Forest,OG,79,317,,5.51,24,30.0,100,4.90,8.10
2004,Adrien Clarke,Ohio State,OG,77,329,,5.52,,26.0,102,4.79,7.93
2004,Michael Clayton,Louisiana State,WR,75,209,,4.67,,32.5,116,4.15,6.79
2004,Cedric Cobbs,Arkansas,RB,73,223,,4.75,,40.0,123,,
2004,Cols Colas,Virginia Tech,OLB,73,233,,4.58,22,34.5,118,,
2004,Ricardo Colclough,Tusculum,CB,71,194,,4.49,8,39.5,127,,
2004,Erik Coleman,Washington State,FS,71,200,,4.64,16,35.5,117,4.14,7.05
2004,Chris Collins,Mississippi,WR,73,201,,4.69,,35.0,112,,
2004,Chris Cooley,Utah State,TE,76,262,,4.87,22,33.0,115,4.19,7.22
2004,Marquis Cooper,Washington,OLB,75,223,,4.55,25,36.5,121,4.14,7.02
2004,Terrance Copper,East Carolina,WR,73,204,,4.53,,35.5,116,4.33,7.36
2004,Jorge Cordova,Nevada,ILB,74,237,,*4.68,22,35.5,,4.17,7.28
2004,Jerricho Cotchery,North Carolina State,WR,73,212,,4.54,,36.0,121,3.92,6.95
2004,Regis Crawford,Arizona State,OG,74,316,,6.05,,,,4.91,8.03
2004,Duron Croson,Fort Valley State (GA),RB,73,226,,4.83,14,30.5,108,,
2004,Tom Crowder,Arkansas,WR,73,183,,*4.45,,38.5,132,,
2004,Kentrell Curry,Georgia,FS,73,201,,4.60,17,34.5,127,,
2004,Lane Danielson,Iowa State,WR,73,197,,4.60,,31.0,117,4.07,6.73
2004,Trey Darilek,Texas-El Paso,OG,76,301,,5.23,22,28.5,110,4.66,7.85
2004,Devard Darling,Washington State,WR,73,212,,4.52,,37.0,129,,
2004,Josh Davis,Nebraska,RB,71,200,,4.54,13,33.5,112,4.10,7.29
2004,Rod Davis,Southern Mississippi,ILB,74,238,,4.76,,,114,4.03,7.21
2004,Curtis DeLoatch,North Carolina A&T,CB,75,214,,4.50,10,35.5,120,4.42,6.97
2004,Mondre Dickerson,Tennessee,DT,76,316,,5.12,29,27.0,106,,8.34
2004,Daryl Dixon,Florida,FS,70,195,,4.77,15,35.5,118,,
2004,Darnell Dockett,Florida State,DT,76,297,,5.00,26,31.0,105,,
2004,Nat Dorsey,Georgia Tech,OT,79,322,,5.46,26,28.5,102,4.89,8.30
2004,Khiawatha Downey,Indiana (PA),OG,76,332,,5.50,21,26.5,98,4.83,8.03
2004,Vontez Duff,Notre Dame,CB,71,203,,4.53,13,35.0,120,4.03,6.94
2004,Jeff Dugan,Maryland,TE,77,263,,5.00,21,28.0,109,4.40,7.43
2004,Glenn Earl,Notre Dame,SS,73,222,,*4.65,20,,,,
2004,Joe Echemandu,California,RB,71,226,,*4.58,15,,,,
2004,Dwan Edwards,Oregon State,DT,75,313,,5.12,25,28.0,105,4.68,7.59
2004,DeAndre Eiland,South Carolina,FS,73,202,,4.51,17,35.0,113,4.28,7.20
2004,Kevin Emanuel,Florida State,DE,76,251,,4.84,21,31.0,108,4.49,7.86
2004,Tim Euhus,Oregon State,TE,77,249,,4.93,25,34.5,115,4.13,6.99
2004,Lee Evans,Wisconsin,WR,71,197,,4.39,,34.5,120,,
2004,Clarence Farmer,Arizona,RB,73,231,,4.68,25,34.5,120,4.27,7.45
2004,Jason Fife,Oregon,QB,76,226,26,4.83,,30.5,113,4.26,7.28
2004,Troy Fleming,Tennessee,FB,73,230,,4.62,,32.0,120,3.95,6.94
2004,JohnPaul Foschi,Georgia Tech,TE,76,266,,5.01,24,30.5,111,4.45,7.52
2004,Ryan Fowler,Duke,ILB,75,250,,4.80,35,37.5,118,4.19,7.20
2004,Keyaron Fox,Georgia Tech,OLB,75,227,,*4.65,28,,,,
2004,Carlos Francis,Texas Tech,WR,69,198,,4.33,,38.5,114,4.06,6.98
2004,Michael Gaines,Central Florida,TE,74,275,,5.06,18,33.0,109,4.20,7.46
2004,Robert Gallery,Iowa,OT,79,323,,4.98,24,30.0,105,4.39,7.43
2004,Rich Gardner,Penn State,CB,71,199,,4.46,11,36.5,123,3.91,6.91
2004,Robert Geathers,Georgia,DE,75,271,,4.84,24,33.5,112,,
2004,Ronnie Ghent,Louisville,TE,75,248,,5.02,11,27.5,103,4.55,7.47
2004,Roderick Green,Central Missouri,DE,74,245,,4.70,21,34.5,129,4.04,7.26
2004,Jabari Greer,Tennessee,CB,70,178,,4.50,7,36.5,126,,
2004,Jake Grove,Virginia Tech,C,76,303,,5.16,31,,,,
2004,D.J. Hackett,Colorado,WR,75,199,,4.53,,41.0,131,4.10,6.80
2004,Rex Hadnot,Houston,C,74,323,,5.50,27,24.5,91,4.76,7.97
2004,Antonio Hall,Kentucky,OG,76,317,,5.54,27,26.5,101,4.56,8.15
2004,DeAngelo Hall,Virginia Tech,CB,70,202,,4.34,,,,,
2004,Nick Hardwick,Purdue,C,76,295,,5.20,27,34.0,108,4.64,7.84
2004,Jonathan Harrell,Northern Iowa,OLB,74,245,,*4.73,27,,,,
2004,Claude Harriott,Pittsburgh,DE,76,252,,4.69,25,30.5,118,4.25,7.44
2004,Josh Harris,Bowling Green,QB,73,234,25,*4.84,,31.0,,,
2004,Tommie Harris,Oklahoma,DT,75,295,,*4.68,29,,,,
2004,Ben Hartsock,Ohio State,TE,76,263,,4.80,23,35.0,117,4.03,7.11
2004,Joseph Hayes,San Jose State,OG,77,311,,5.67,18,23.0,94,5.18,8.27
2004,Bryan Hickman,Kansas State,OLB,73,231,,4.68,26,32.5,106,4.04,7.31
2004,Marquise Hill,Louisiana State,DE,79,305,,*4.90,23,29.0,106,,
2004,Cedric Hilliard,Notre Dame,DT,73,307,,5.17,26,29.0,110,4.79,8.25
2004,Isaac Hilton,Hampton,DE,76,267,,4.57,31,36.5,123,4.48,7.99
2004,T.J. Hollowell,Nebraska,OLB,73,235,,4.64,,33.5,117,4.09,7.16
2004,Von Hutchins,Mississippi,CB,70,185,,4.46,11,34.5,115,4.06,7.05
2004,Scott Jackson,BYU,C,76,300,,4.98,,30.5,105,4.52,7.86
2004,Justin Jenkins,Mississippi State,WR,73,210,,4.60,,35.0,123,4.16,7.50
2004,Leon Joe,Maryland,OLB,73,230,,4.49,30,39.0,,,
2004,Landon Johnson,Purdue,OLB,74,223,,4.65,20,37.5,120,4.08,7.01
2004,Spencer Johnson,Auburn,DT,75,286,,5.06,19,30.0,111,4.53,7.78
2004,Tank Johnson,Washington,DT,75,304,,4.69,31,34.0,114,4.60,7.56
2004,Tony Johnson,Penn State,WR,71,202,,4.61,,32.5,118,4.26,7.16
2004,Trevor Johnson,Nebraska,DE,77,259,,4.80,23,35.5,110,4.08,7.06
2004,Adrian Jones,Kansas,OT,76,296,,4.97,27,31.0,114,4.60,7.81
2004,Julius Jones,Notre Dame,RB,70,214,,4.47,,37.5,121,4.16,7.96
2004,Kevin Jones,Virginia Tech,RB,72,227,,*4.38,,38.0,,,
2004,Maurice Jones,South Florida,OLB,73,249,,4.71,26,35.5,118,4.21,7.17
2004,Randy Jordan,Kansas State,CB,73,178,,4.59,,33.5,115,4.21,7.34
2004,Carlos Joseph,Miami,OT,78,345,,*5.25,29,,,,
2004,Mike Karney,Arizona State,FB,73,254,,5.02,25,30.0,103,,
2004,Tommy Kelly,Mississippi State,DE,78,294,,4.87,24,25.0,105,4.45,7.79
2004,Robert Kent,Jackson State,QB,76,222,,4.87,,26.5,110,4.25,7.71
2004,Derrick Knight,Boston College,RB,69,209,,4.71,16,31.5,108,,
2004,Niko Koutouvides,Purdue,ILB,75,244,,4.71,,30.5,108,3.89,6.99
2004,Craig Krenzel,Ohio State,QB,76,228,38,4.84,,28.0,112,4.15,7.23
2004,Travis Laboy,Hawaii,DE,75,263,,4.69,35,35.5,126,4.07,7.01
2004,Nate Lawrie,Yale,TE,78,264,,*4.87,23,34.0,117,4.12,6.71
2004,Nick Leckey,Kansas State,C,75,290,,5.26,18,27.0,97,4.53,7.72
2004,Teddy Lehman,Oklahoma,OLB,74,240,,4.55,26,34.5,113,4.06,6.95
2004,Brad Lekkerkerker,Cal Davis,OT,79,317,,5.36,23,27.5,102,4.73,7.95
2004,Rodney Leslie,UCLA,DT,75,309,,*5.15,31,,,,
2004,Jeremy LeSueur,Michigan,CB,73,197,,4.53,,35.0,116,,
2004,Alex Lewis,Wisconsin,OLB,73,228,,4.78,25,34.5,121,4.31,7.06
2004,Keith Lewis,Oregon,FS,73,202,,4.60,11,37.0,121,4.08,7.28
2004,Sean Locklear,North Carolina State,OG,76,308,,5.16,27,29.0,100,4.61,7.86
2004,J.P. Losman,Tulane,QB,74,224,31,4.73,,33.0,116,,
2004,Triandos Luke,Alabama,WR,71,191,,4.51,,38.0,124,4.17,7.06
2004,Maurice Mann,Nevada,WR,74,191,,4.57,,34.0,118,,
2004,Eli Manning,Mississippi,QB,77,221,39,*4.90,,,,,
2004,Luke McCown,Louisiana Tech,QB,76,208,24,4.71,,37.5,125,4.28,6.75
2004,Derek McCoy,Colorado,WR,75,210,,4.73,,38.0,128,4.13,7.11
2004,Bobby McCray,Florida,DE,78,255,,4.62,27,33.5,,,
2004,Dylan McFarland,Montana,OT,78,304,,*5.26,31,27.5,98,,
2004,Sean McHugh,Penn State,TE,77,264,,4.92,18,29.0,115,4.09,7.37
2004,Jeris McIntyre,Auburn,WR,71,201,,4.46,,29.0,112,4.18,7.00
2004,Nautyn McKay-Loescher,Alabama,DE,74,260,,*4.75,,,,,7.27
2004,Caleb Miller,Arkansas,ILB,75,224,,4.66,23,34.5,120,3.95,6.85
2004,Jim Molinaro,Notre Dame,OT,78,308,,5.09,21,29.5,105,4.64,7.77
2004,Clarence Moore,Northern Arizona,WR,78,211,,4.55,,34.0,122,4.21,6.84
2004,Mewelde Moore,Tulane,RB,71,209,,4.65,,35.0,118,4.14,7.07
2004,Johnnie Morant,Syracuse,WR,76,229,,4.51,,41.0,130,4.26,7.35
2004,John Navarre,Michigan,QB,78,246,24,5.19,,26.5,100,4.56,7.74
2004,James Newson,Oregon State,WR,73,213,,4.76,,31.5,116,,7.43
2004,Gabe Nyenhuis,Colorado,DE,75,269,,4.74,25,39.0,124,4.03,6.92
2004,Antwan Odom,Alabama,DE,78,274,,4.71,21,37.0,114,4.44,7.30
2004,Shane Olivea,Ohio State,OT,75,302,,5.29,,29.0,92,4.76,8.26
2004,Igor Olshansky,Oregon,DT,77,315,,4.96,41,33.5,110,4.41,7.61
2004,Uyi Osunde,Connecticut,DE,75,252,,*4.75,33,,,,
2004,Tony Pape,Michigan,OT,78,324,,5.36,26,27.0,97,4.60,8.02
2004,Arnold Parker,Utah,SS,74,214,,4.54,18,35.5,120,4.12,6.98
2004,Samie Parker,Oregon,WR,71,176,,4.39,,36.0,,,
2004,Josh Parrish,Washington State,OT,78,337,,5.41,20,28.0,104,4.63,8.27
2004,Jarrett Payton,Miami,RB,73,220,,4.66,,31.0,115,4.33,7.36
2004,Chris Perry,Michigan,RB,73,220,,*4.55,19,,,,
2004,Stephen Peterman,Louisiana State,OG,76,312,,5.46,23,24.5,95,4.69,7.90
2004,Jason Peters,Arkansas,TE,77,328,,4.93,21,29.0,115,4.79,7.72
2004,Shaun Phillips,Purdue,DE,75,255,,4.78,,33.0,114,4.23,6.95
2004,Cody Pickett,Washington,QB,76,230,19,4.79,,30.5,109,4.32,7.19
