Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
1999,Rahim Abdullah,Clemson,OLB,77,244,,4.85,17,34.0,118,4.36,7.24
1999,Ben Adams,Texas,OG,77,324,,5.36,26,25.5,98,4.83,7.86
1999,Phillip Armour,North Texas,C,75,318,,5.53,23,30.5,100,4.59,7.63
1999,Brendon Ayanbadejo,UCLA,OLB,73,234,,4.67,18,36.0,117,4.36,7.57
1999,Jerry Azumah,New Hampshire,RB,70,195,,4.48,15,43.5,132,3.86,6.90
1999,Champ Bailey,Georgia,CB,73,184,,4.28,,37.0,121,3.79,
1999,Karsten Bailey,Auburn,WR,73,205,,4.33,,40.0,121,3.99,6.99
1999,Eugene Baker,Kent State (OH),WR,73,167,,4.46,,36.5,126,4.03,6.90
1999,Todd Bandhaur,Iowa State,QB,75,236,31,5.26,,31.0,103,4.61,7.66
1999,Lionel Barnes,North Carolina Central,DE,77,264,,5.00,24,34.0,112,4.52,7.51
1999,Marlon Barnes,Colorado,RB,70,211,,4.49,18,35.5,120,4.32,7.31
1999,Eric Barton,Maryland,ILB,75,247,,4.68,20,32.0,112,4.32,7.60
1999,Michael Basnight,North Carolina A&T,RB,73,241,,4.60,18,34.5,118,4.42,7.34
1999,D'Wayne Bates,Northwestern,WR,74,215,,4.59,,37.0,117,4.24,7.25
1999,Albrey Battle,Arizona State,DT,75,294,,5.38,23,29.0,101,4.66,8.15
1999,Tim Beauchamp,Florida,DE,74,270,,4.93,24,26.5,,,
1999,Michael Bishop,Kansas State,QB,73,205,10,4.85,,33.0,113,4.62,7.63
1999,Octavious Bishop,Texas,OT,77,354,,5.84,22,,,,
1999,Dre' Bly,North Carolina,CB,70,186,,4.51,,34.5,116,4.09,7.10
1999,David Boston,Ohio State,WR,73,215,,4.47,,37.0,116,4.09,7.20
1999,David Bowens,Western Illinois,DE,75,255,,4.85,,31.0,112,4.38,7.40
1999,Melvin Bradley,Arkansas,DE,73,269,,4.67,,31.0,111,4.32,7.42
1999,Ronnie Bradley,Georgia,RB,69,221,,4.57,,36.0,115,4.10,7.18
1999,Jason Bray,Auburn,CB,70,185,,4.49,,33.0,113,4.35,7.20
1999,Aaron Brooks,Virginia,QB,76,203,17,4.60,,35.5,120,4.29,7.52
1999,Kevin Brooks,South Carolina,CB,69,169,,4.34,,36.0,119,3.86,6.99
1999,Donald Broomfield,Clemson,DT,75,302,,5.08,24,31.0,106,4.34,7.75
1999,Cuncho Brown,Penn State,TE,76,272,,4.78,,31.5,110,4.44,7.51
1999,Larry Brown,Georgia,TE,77,278,,4.94,20,34.0,113,4.50,7.35
1999,Na Brown,North Carolina,WR,73,184,,4.56,,40.5,110,,
1999,Wilbert Brown,Houston,OG,74,311,,5.58,22,26.0,98,5.02,8.46
1999,Fernando Bryant,Alabama,CB,70,183,,4.50,,35.5,115,4.06,7.03
1999,Tony Bryant,Florida State,DE,76,273,,4.85,16,34.5,111,4.57,7.57
1999,Shawn Bryson,Tennessee,FB,73,235,,4.63,18,38.5,128,,
1999,Doug Brzezinski,Boston College,OG,76,309,,5.32,26,26.0,98,4.53,
1999,Brandon Bulsworth,Arkansas,OG,76,308,,5.01,24,31.5,111,4.43,7.43
1999,Thomas Burke,Wisconsin,DE,74,264,,4.84,24,35.0,111,4.38,7.42
1999,Siaha Burley,Central Florida,WR,71,166,,4.53,,34.0,113,4.16,
1999,Justin Burroughs,North Carolina State,C,76,288,,4.86,23,33.0,114,4.23,7.36
1999,Dan Campbell,Texas A&M,TE,77,263,,4.85,25,36.0,121,4.07,7.00
1999,Johndale Carty,Utah State,FS,73,192,,4.58,12,40.0,126,4.15,7.00
1999,Anthony Cesario,Colorado State,OG,78,312,,5.29,,26.5,103,,
1999,Kenny Cheatham,Nebraska,WR,75,211,,4.60,,36.0,115,,
1999,Ed Chester,Florida,DT,76,294,,*4.91,21,,,,
1999,Darrin Chiaverini,Colorado,WR,73,212,,4.53,,33.0,112,4.16,
1999,Chris Claiborne,Southern California,ILB,75,248,,4.63,16,34.0,116,4.37,7.68
1999,Desmond Clark,Wake Forest,TE,75,255,,4.86,12,31.0,113,4.35,7.30
1999,Mike Cloud,Boston College,RB,71,200,,4.56,17,38.5,117,4.16,6.80
1999,Rich Coady,Texas A&M,SS,73,210,,4.55,20,36.0,119,3.88,7.11
1999,Tony Coats,Washington,OG,79,312,,5.35,21,30.0,101,4.54,7.79
1999,Antonio Cochran,Georgia,DE,76,297,,5.12,19,33.0,112,4.55,7.87
1999,Nikia Codie,Baylor,FS,75,207,,4.57,17,34.0,121,4.20,7.21
1999,Willie Cohens,Florida,DE,75,264,,5.00,29,33.5,108,4.52,7.84
1999,Rod Coleman,East Carolina,DE,74,262,,4.94,,32.5,111,4.57,8.00
1999,Alphonso Collins,East Carolina,TE,74,281,,4.83,20,32.5,108,4.41,7.37
1999,Cecil Collins,McNeese State (LA),RB,69,209,,4.51,17,33.0,117,,7.21
1999,Dan Collins,Boston College,OG,76,282,,5.03,20,24.0,100,,
1999,Rosevelt Colvin,Purdue,DE,75,256,,4.92,,36.5,119,4.19,7.08
1999,Kris Comstock,Kentucky,OT,80,319,,5.55,17,23.5,101,4.84,8.19
1999,Eddie Conti,Delaware,WR,68,173,,4.50,,36.0,120,4.04,6.96
1999,Mike Cook,William & Mary,QB,73,207,22,4.80,,33.5,112,4.32,7.29
1999,Rashard Cook,Southern California,FS,71,197,,4.77,13,36.0,122,4.30,7.20
1999,Jermaine Copeland,Tennessee,WR,74,201,,4.50,,36.0,117,4.28,7.30
1999,Mondell Corbett,East Carolina,OG,74,313,,5.41,21,29.0,100,4.77,8.03
1999,Tim Couch,Kentucky,QB,76,225,22,5.08,,31.0,,4.34,
1999,Scott Covington,Miami,QB,74,219,21,4.67,,34.0,109,4.42,7.62
1999,Jason Craft,Colorado State,CB,70,178,,4.52,14,37.5,113,4.20,6.97
1999,Daunte Culpepper,Central Florida,QB,76,255,18,4.52,,39.0,122,4.13,7.21
1999,Chris Cummings,Louisiana State,CB,68,186,,4.48,21,34.5,125,4.14,6.87
1999,DeMarcus Curry,Auburn,OT,77,317,,5.35,20,25.5,98,4.69,7.98
1999,Tony D'Amato,Utah State,ILB,71,240,,4.77,34,30.0,106,4.40,7.50
