Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2003,Khalid Abdullah,Mars Hill,OLB,74,227,,4.61,26,36.5,126,4.25,7.13
2003,Anthony Adams,Penn State,DT,73,299,,5.13,,30.5,109,4.59,7.68
2003,Sam Aiken,North Carolina,WR,74,209,,4.59,,39.5,121,,7.22
2003,Nnamdi Asomugha,California,CB,75,213,,4.45,16,37.5,124,,
2003,Rod Babers,Texas,CB,69,192,,4.43,15,37.0,127,4.07,6.83
2003,Boss Bailey,Georgia,OLB,75,233,,*4.58,,42.0,135,,
2003,Brad Banks,Iowa,QB,71,201,13,*4.67,,33.5,112,,
2003,Korey Banks,Mississippi State,CB,70,188,,4.58,15,,,,
2003,Tully Banta-Cain,California,DE,74,264,,*4.79,25,,,,
2003,Nick Barnett,Oregon State,OLB,74,236,,4.67,32,34.5,123,4.08,7.00
2003,Justin Bates,Colorado,OG,76,300,,5.38,18,,,,
2003,Solomon Bates,Arizona State,ILB,74,243,,4.89,19,30.0,112,4.34,7.23
2003,Arnaz Battle,Notre Dame,WR,73,217,,4.58,,35.0,117,4.06,6.74
2003,Santonio Beard,Alabama,RB,73,222,,4.62,,31.5,119,,
2003,Ronald Bellamy,Michigan,WR,73,208,,4.57,,30.5,119,4.10,7.38
2003,Sean Berton,North Carolina State,TE,77,279,,5.02,,31.0,107,4.35,7.18
2003,Jordan Black,Notre Dame,OT,78,314,,5.18,,30.0,106,4.50,7.65
2003,Josh Blankenship,Tulsa,QB,74,211,24,5.16,,28.5,103,4.42,7.59
2003,Anquan Boldin,Florida State,WR,73,216,,4.72,,33.5,114,4.33,7.35
2003,Kyle Boller,California,QB,75,234,27,4.61,,35.5,117,4.02,7.20
2003,Colin Branch,Stanford,FS,73,203,,4.40,22,36.0,119,,
2003,Tyler Brayton,Colorado,DE,78,277,,4.73,25,34.0,116,4.31,7.14
2003,Jeremy Bridges,Southern Mississippi,OG,76,301,,5.38,25,28.5,96,4.77,8.12
2003,Lance Briggs,Arizona,ILB,73,242,,4.75,25,33.0,113,,
2003,Lucas Brigman,Nebraska-Omaha,C,73,308,,5.30,26,27.0,101,4.67,7.99
2003,Chris Brown,Hawaii,FS,73,195,,4.59,15,35.5,126,4.13,7.05
2003,Mark Brown,Auburn,ILB,73,238,,4.82,,37.5,121,4.21,7.37
2003,D Bryant,Duke,QB,74,218,23,4.73,,35.5,114,4.40,7.36
2003,Nate Burleson,Nevada,WR,73,197,,4.51,,42.5,126,4.16,6.96
2003,Nick Burley,Fresno State,DE,76,243,,4.83,26,32.0,108,4.57,7.73
2003,Curry Burns,Louisville,SS,73,216,,4.56,19,36.0,120,4.16,7.04
2003,Tyrone Calico,Middle Tennessee St,WR,76,223,,4.34,,38.0,127,4.26,6.73
2003,Kerry Carter,Stanford,RB,74,238,,4.61,20,36.0,118,4.39,7.29
2003,Dallas Clark,Iowa,TE,76,257,,*4.65,,37.5,123,,
2003,Ben Claxton,Mississippi,C,75,301,,5.16,,27.0,102,4.69,7.81
2003,Chris Clemons,Georgia,OLB,75,236,,4.68,18,35.0,116,,7.48
2003,Avon Cobourne,West Virginia,RB,68,205,,*4.70,21,31.5,112,4.18,7.21
2003,Colin Cole,Iowa,DT,74,309,,5.22,29,31.0,103,4.75,7.85
2003,Torrie Cox,Pittsburgh,CB,69,181,,*4.55,,32.0,119,4.20,6.98
2003,Angelo Crowell,Virginia,ILB,73,236,,4.73,25,32.5,,4.29,7.08
2003,Dan Curley,Eastern Washington,TE,76,254,,4.63,17,35.5,118,4.53,7.47
2003,Brennan Curtin,Notre Dame,OT,81,318,,5.28,,32.0,100,4.87,7.98
2003,Kevin Curtis,Utah State,WR,71,186,,4.42,,36.0,122,3.99,6.76
2003,Anthony Davis,Virginia Tech,OG,77,329,,5.34,,27.5,95,4.98,8.26
2003,Chris Davis,Syracuse,FB,73,235,,4.56,21,38.5,116,4.37,7.25
2003,Domanick Davis,Louisiana State,RB,69,213,,4.58,22,32.5,112,4.47,7.32
2003,Sammy Davis,Texas A&M,CB,73,186,,4.42,19,40.0,131,,7.01
2003,Enoch DeMar,Indiana,OG,76,334,,5.63,22,22.5,90,5.10,8.35
2003,Dahrran Diedrick,Nebraska,RB,73,228,,4.62,19,37.0,117,4.44,7.32
2003,David Diehl,Illinois,OG,78,310,,5.26,22,28.0,96,4.97,8.10
2003,Robbie Doane,Texas,OG,78,311,,5.29,,24.5,85,4.73,8.04
2003,Derrick Dockery,Texas,OG,78,347,,*5.58,,25.0,92,,
2003,Charles Drake,Michigan,FS,73,205,,*4.52,20,,,,
2003,Brandon Drumm,Colorado,FB,74,233,,4.71,21,32.5,113,4.29,7.18
2003,LaTarence Dunbar,Texas Christian,WR,71,196,,4.52,,34.0,122,4.35,7.41
2003,Nick Eason,Clemson,DT,75,301,,5.17,29,,102,,
2003,Justin Fargas,Southern California,RB,73,219,,4.35,27,,137,,
2003,Gus Felder,Penn State,OG,75,324,,5.83,,23.5,94,5.54,9.12
2003,Drayton Florence,Tuskegee,CB,73,198,,4.39,18,35.0,124,,
2003,Anthony Floyd,Louisville,FS,70,202,,4.60,19,33.5,117,4.20,7.09
2003,Lawrence Flugence,Texas Tech,ILB,73,239,,4.87,23,34.0,106,4.36,7.40
2003,George Foster,Georgia,OT,78,338,,*5.23,,27.0,100,,
2003,Aubrayo Franklin,Tennessee,DT,74,307,,*5.20,,27.0,100,4.79,
2003,Makoa Freitas,Arizona,OG,76,307,,5.05,36,24.5,95,4.92,8.24
2003,Doug Gabriel,Central Florida,WR,74,213,,4.52,,35.5,116,4.16,7.05
2003,Ahmaad Galloway,Alabama,RB,73,223,,*4.65,22,,,,
2003,Talman Gardner,Florida State,WR,73,205,,4.44,,34.5,116,4.43,7.54
2003,Kevin Garrett,Southern Methodist,CB,70,194,,4.32,,35.0,129,3.96,6.90
2003,Tony Gilbert,Georgia,ILB,73,251,,*4.86,19,27.5,109,,
2003,Jason Goss,Texas Christian,CB,70,183,,4.58,15,32.5,117,4.31,7.46
2003,Earnest Graham,Florida,RB,69,225,,*4.50,22,,,,
2003,Brandon Green,Rice,DE,75,267,,4.78,19,32.0,105,4.32,7.23
2003,Jamaal Green,Miami,DE,74,272,,4.78,27,35.5,119,,
2003,Quentin Griffin,Oklahoma,RB,67,195,,4.48,21,38.0,123,4.08,
2003,Justin Griffith,Mississippi State,FB,71,232,,4.59,29,32.0,113,4.68,7.73
2003,DeJuan Groce,Nebraska,CB,70,192,,4.49,18,36.0,118,4.00,6.82
2003,Jordan Gross,Utah,OT,77,300,,5.05,28,31.5,112,4.39,7.69
2003,Rex Grossman,Florida,QB,71,217,29,*5.06,,,,,
2003,Mario Haggan,Mississippi State,ILB,75,252,,4.88,21,33.0,110,4.46,7.55
2003,Ken Hamlin,Arkansas,FS,75,209,,4.61,16,33.0,117,3.92,6.80
2003,Omari Hand,Tennessee,DE,76,267,,*4.85,34,,,,
2003,Byron Hardmon,Florida,ILB,73,232,,4.76,17,32.5,115,4.41,7.55
2003,Kwame Harris,Stanford,OT,79,310,,5.20,,35.5,107,4.65,7.98
2003,Gerald Hayes,Pittsburgh,ILB,73,238,,*4.75,,30.5,107,4.35,7.57
2003,Michael Haynes,Penn State,DE,76,281,,4.87,23,30.5,109,,
2003,E.J. Henderson,Maryland,ILB,73,245,,*4.80,20,,,,
2003,Dwone Hicks,Middle Tennessee St,RB,70,222,,*4.60,29,34.0,115,4.42,7.38
2003,Zach Hilton,North Carolina,TE,80,267,,4.83,24,35.0,112,4.33,7.26
2003,Ryan Hoag,Gustavus Adolphus,WR,74,200,,4.51,,38.0,125,3.95,6.72
2003,Victor Hobson,Michigan,ILB,73,252,,4.86,29,33.0,117,4.33,7.26
2003,Montrae Holland,Florida State,OG,74,333,,*5.30,30,,,5.13,8.46
2003,Terrence Holt,North Carolina State,FS,74,208,,*4.63,13,34.5,122,4.03,6.99
2003,Raymond House,Arkansas,DE,75,277,,5.08,20,32.0,120,4.36,7.55
2003,Keenan Howry,Oregon,WR,70,178,,4.56,,31.5,114,4.28,7.34
2003,Aaron Hunt,Texas Tech,DE,75,262,,4.86,24,30.0,106,4.52,7.68
2003,Wayne Hunter,Hawaii,OT,78,303,,5.08,37,31.0,104,4.57,7.72
2003,Alonzo Jackson,Florida State,DE,76,266,,4.86,14,37.0,114,4.50,7.69
2003,Bradie James,Louisiana State,ILB,75,242,,*4.71,,32.5,113,4.54,7.53
2003,Jason Jimenez,Southern Mississippi,OT,79,311,,5.26,18,30.0,96,4.69,8.47
2003,Andre Johnson,Miami,WR,74,230,,*4.40,,39.0,132,,
2003,Ben Johnson,Wisconsin,OT,79,329,,*5.37,30,,,,
2003,Bethel Johnson,Texas A&M,WR,71,201,,4.38,,38.5,127,,
2003,Garry Johnson,Arkansas State,OT,76,289,,5.28,17,24.5,97,4.89,8.27
2003,Jarret Johnson,Alabama,DT,75,284,,5.07,21,28.5,107,4.58,7.72
2003,Jeremi Johnson,Indiana,FB,71,260,,4.90,20,29.0,103,,
2003,Larry Johnson,Penn State,RB,73,228,,*4.55,19,,,,
2003,Robert Johnson,Auburn,TE,78,278,,4.96,18,33.5,115,4.47,7.15
2003,Teyo Johnson,Stanford,WR,78,247,,*4.61,,33.5,,,
2003,Todd Johnson,Florida,FS,73,206,,4.56,19,33.5,117,4.19,7.01
2003,Bennie Joppru,Michigan,TE,76,272,,*4.78,19,30.5,109,,
2003,William Joseph,Miami,DT,77,308,,*4.95,29,,,,
2003,Jason Jowers,Wisconsin,OG,79,319,,5.44,,29.5,101,4.86,8.32
2003,Cato June,Michigan,SS,73,218,,4.61,,35.0,113,,
2003,Kareem Kelly,Southern California,WR,73,186,,4.42,,35.0,125,4.24,7.51
2003,Chris Kelsay,Nebraska,DE,77,273,,4.75,23,36.5,121,,
2003,Terrence Kiel,Texas A&M,SS,71,204,,4.46,16,38.0,127,3.96,6.88
2003,Austin King,Northwestern,C,76,299,,5.42,20,28.0,106,4.73,7.99
2003,Kenny King,Alabama,DE,75,281,,*4.95,25,35.0,114,4.37,7.50
2003,Kliff Kingsbury,Texas Tech,QB,76,213,31,4.77,,30.0,101,4.10,6.92
2003,Dan Klecko,Temple,DT,73,283,,4.94,26,33.5,111,4.43,7.52
2003,Scott Kooistra,North Carolina State,OT,78,316,,5.14,28,31.0,103,4.62,7.95
2003,Dan Koppen,Boston College,C,76,297,,5.43,27,28.5,101,4.56,8.26
2003,Tron LaFavor,Florida,DT,74,290,,*5.08,26,28.0,106,,
2003,Damian Lavergne,Louisiana Tech,OT,78,333,,5.57,17,27.0,92,4.86,8.44
2003,Donald Lee,Mississippi State,TE,75,249,,4.82,26,39.0,120,4.42,7.42
2003,James Lee,Oregon State,DT,77,327,,4.98,23,30.0,106,4.69,7.78
2003,Byron Leftwich,Marshall,QB,78,241,25,*5.10,,,,,
2003,Mike Lehan,Minnesota,CB,73,196,,4.45,13,34.5,119,4.15,6.95
2003,Norman LeJeune,Louisiana State,SS,73,200,,4.65,11,33.5,115,4.21,7.42
2003,Matt Leonard,Stanford,DT,75,305,,4.97,30,26.0,95,4.56,7.53
2003,Brandon Lloyd,Illinois,WR,73,184,,4.62,,36.0,,,
2003,Rien Long,Washington State,DT,78,302,,*5.08,,,105,,
2003,Tom Lopienski,Notre Dame,FB,73,246,,*4.75,24,34.0,111,4.24,7.53
2003,Pete Lougheed,Purdue,OT,77,300,,5.16,20,28.5,93,4.51,7.86
2003,Jeremy Loyd,Iowa State,OLB,74,235,,4.64,17,34.0,114,4.15,6.90
2003,Nick Maddox,Florida State,RB,71,211,,4.65,18,33.5,115,4.50,7.33
2003,Adrian Madise,Texas Christian,WR,73,215,,4.49,,32.0,119,4.26,7.32
2003,Sean Mahan,Notre Dame,OG,75,301,,5.14,30,30.0,105,4.77,7.75
2003,Reno Mahe,BYU,WR,69,198,,4.68,,32.0,109,4.23,7.27
2003,Brian Mance,Clemson,CB,71,189,,4.58,18,32.5,115,,
2003,Eric Manning,Oregon State,DT,73,303,,5.05,26,28.5,107,4.66,7.77
2003,Ricky Manning,UCLA,CB,69,185,,4.52,12,36.5,117,4.17,7.11
2003,Vince Manuwai,Hawaii,OG,74,304,,5.06,27,29.5,107,4.40,7.59
2003,Kareem Marshall,Georgia,OT,77,359,,*5.22,,27.5,92,,
2003,Terrance Martin,North Carolina State,DT,75,299,,*5.15,30,,,,
2003,Rashean Mathis,Bethune-Cookman,FS,73,202,,4.45,22,38.5,123,4.17,7.09
2003,Sultan McCullough,Southern California,RB,73,202,,*4.49,27,,,,
2003,LaMarcus McDonald,Texas Christian,ILB,73,227,,4.99,,31.0,110,4.44,7.60
2003,Jerome McDougle,Miami,DE,74,264,,4.67,,34.0,117,4.58,7.28
2003,Terrence McGee,Northwestern State (LA),CB,70,201,,4.57,15,37.0,126,4.09,6.88
2003,Bryant McNeal,Clemson,DE,77,248,,4.88,22,34.5,117,,
