Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2012,Emmanuel Acho,Texas,OLB,74,238,,4.64,24,35.5,118,,
2012,Joe Adams,Arkansas,WR,71,179,,4.51,,36.0,123,,7.09
2012,Mike Adams,Ohio State,OT,79,323,,5.28,19,28.5,100,4.95,7.94
2012,Chas Alecxih,Pittsburgh,DT,76,296,,5.31,19,25.5,99,4.62,7.74
2012,Frank Alexander,Oklahoma,DE,76,270,,*4.82,,,,,
2012,Antonio Allen,South Carolina,SS,74,210,,4.58,17,34.0,118,4.25,7.02
2012,Dwayne Allen,Clemson,TE,75,255,,4.85,27,32.0,110,4.37,7.12
2012,Jeff Allen,Illinois,OT,76,307,,5.17,26,27.5,102,4.90,8.01
2012,Justin Anderson,Georgia,OT,76,335,,5.24,32,27.0,101,4.99,8.04
2012,Bryan Anger,California,P,76,208,,*4.86,,,,,
2012,Mark Asper,Oregon,OG,78,319,,*5.33,23,,,,
2012,Edwin Baker,Michigan State,RB,68,204,,4.44,20,35.0,111,4.31,7.27
2012,Ryan Baker,LSU,OLB,71,232,,4.80,30,34.0,113,4.35,7.21
2012,Mike Ball,Nevada,RB,69,206,,4.54,21,36.0,112,4.23,7.10
2012,Vick Ballard,Mississippi State,RB,70,219,,4.59,23,33.0,115,4.19,7.03
2012,Mark Barron,Alabama,SS,73,213,,*4.56,,,,,
2012,Kelvin Beachum,Southern Methodist,OG,75,303,,5.38,19,28.5,101,4.80,7.79
2012,Tim Benford,Tennessee Tech,WR,71,205,,4.51,15,,,,
2012,Travis Benjamin,Miami,WR,70,172,,4.31,14,38.0,119,,
2012,Dwight Bentley,Louisiana-Lafayette,CB,70,182,,4.42,13,31.5,114,4.50,6.99
2012,Jake Bequette,Arkansas,DE,77,274,,4.75,,34.0,113,4.07,6.90
2012,Tony Bergstrom,Utah,OT,77,313,,5.19,32,29.5,101,4.84,7.95
2012,Justin Bethel,Presbyterian,FS,73,200,,4.52,19,39.5,131,4.30,6.79
2012,Justin Blackmon,Oklahoma State,WR,73,207,,*4.48,14,,,,
2012,Philip Blake,Baylor,C,75,311,,5.17,22,29.5,105,4.65,7.86
2012,Robert Blanton,Notre Dame,CB,73,208,,4.66,12,34.0,116,3.97,6.71
2012,Jamie Blatnick,Oklahoma State,DE,75,263,,4.81,28,32.5,112,4.20,7.22
2012,Brandon Bolden,Mississippi,RB,71,222,,4.55,21,38.0,119,4.44,6.96
2012,Omar Bolden,Arizona State,CB,70,202,,*4.54,24,,,,
2012,Brandon Boykin,Georgia,CB,70,182,,*4.44,,,,,
2012,Jarrett Boykin,Virginia Tech,WR,74,217,,4.62,11,36.0,123,4.28,7.12
2012,Nigel Bradham,Florida State,OLB,74,241,,4.56,24,37.0,121,4.37,7.18
2012,Andre Branch,Clemson,DE,76,259,,4.67,19,32.5,120,4.25,7.19
2012,LaVon Brazill,Ohio,WR,71,192,,4.43,11,32.5,,,
2012,Michael Brewster,Ohio State,C,76,312,,5.22,29,25.0,96,4.60,7.73
2012,Michael Brockers,LSU,DT,77,322,,5.31,,26.5,105,4.81,7.46
2012,Brandon Brooks,Miami (OH),OG,77,346,,*4.99,,,,,
2012,Ron Brooks,LSU,CB,70,190,,4.37,12,38.0,120,,
2012,Charles Brown,North Carolina,CB,69,202,,4.53,18,35.5,114,4.06,6.94
2012,James Brown,Troy,OG,76,306,,5.19,24,25.5,102,4.78,7.70
2012,Zach Brown,North Carolina,OLB,73,244,,4.44,,33.5,116,,
