Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2001,Keith Adams,Clemson,OLB,71,219,,4.82,24,,104,,
2001,Dan Alexander,Nebraska,FB,73,257,,4.47,15,34.0,115,4.16,7.34
2001,Brian Allen,Florida State,OLB,73,238,,*4.65,25,,,,
2001,David Allen,Kansas State,RB,69,194,,4.62,15,31.0,,,
2001,Will Allen,Syracuse,CB,71,192,,4.44,14,39.5,121,3.90,6.78
2001,Scotty Anderson,Grambling State (LA),WR,74,184,,*4.57,,34.5,115,,
2001,Adam Archuleta,Arizona State,SS,73,211,,*4.46,31,,,,
2001,Tom Ashworth,Colorado,OG,78,293,,5.11,20,33.5,109,4.87,7.20
2001,Billy Baber,Virginia,TE,76,255,,4.76,22,33.0,106,4.19,7.12
2001,Jeff Backus,Michigan,OT,78,310,,5.37,25,27.0,99,4.67,8.40
2001,Alex Bannister,Eastern Kentucky,WR,77,201,,4.47,,30.5,110,,
2001,Kevan Barlow,Pittsburgh,RB,73,235,,4.56,,32.0,,,
2001,Idrees Bashir,Memphis,FS,74,206,,4.56,22,40.0,126,4.25,7.14
2001,Gary Baxter,Baylor,CB,74,204,,4.53,,37.5,122,4.21,7.39
2001,Jonathan Beasley,Kansas State,QB,73,227,20,4.85,,29.5,102,4.38,7.55
2001,Monty Beisel,Kansas State,DE,76,270,,4.83,26,34.5,110,4.30,7.32
2001,Kendrell Bell,Georgia,ILB,73,234,,4.64,24,38.5,124,4.50,7.25
2001,Marcus Bell,Memphis,DT,74,319,,5.32,17,,98,4.71,8.07
2001,Michael Bennett,Wisconsin,RB,69,207,,4.38,13,39.5,,,
2001,Eddie Berlin,Northern Iowa,WR,73,191,,4.43,,39.5,122,4.08,6.78
2001,Cory Bird,Virginia Tech,SS,70,217,,*4.60,22,,,,
2001,Darvell Bivens,Northwestern State (LA),FB,70,255,,4.97,32,33.5,108,4.38,7.81
2001,Randy Black,UNLV,SS,73,205,,4.74,,35.5,115,4.20,7.14
2001,Harold Blackmon,Northwestern,CB,73,210,,4.54,17,37.0,121,4.28,7.03
2001,Derrick Blaylock,Stephen F Austin,RB,70,194,,4.36,18,35.5,,4.09,7.05
2001,Josh Booty,Louisiana State,QB,75,221,27,4.90,,29.5,105,4.48,7.54
2001,Jarvis Borum,North Carolina State,OG,79,332,,5.05,25,30.5,107,4.83,8.50
2001,James Boyd,Penn State,SS,71,207,,4.59,,32.5,117,4.24,7.29
2001,Roylin Bradley,Texas A&M,OLB,73,243,,4.67,19,34.0,114,4.28,7.16
2001,Drew Brees,Purdue,QB,73,213,28,4.83,,32.0,105,4.21,7.09
2001,Sean Brewer,San Jose State,TE,76,255,,4.73,14,36.0,117,4.18,7.37
2001,Chris Brown,Georgia Tech,OT,77,329,,*5.33,30,,,,
2001,Kenny Bryant,Jackson State,CB,71,190,,4.65,10,37.5,117,4.15,7.52
2001,Correll Buckhalter,Nebraska,RB,73,226,,4.53,11,40.0,,4.06,7.08
2001,Derrick Burgess,Mississippi,DE,75,264,,4.92,24,40.0,125,,7.85
2001,Jerametrius Butler,Kansas State,CB,70,173,,4.57,11,36.0,121,4.40,7.22
2001,John Capel,Florida,WR,71,177,,4.39,,36.5,126,,
2001,Elliott Carson,Vanderbilt,TE,77,246,,4.90,16,36.0,115,4.21,7.52
2001,Robert Carswell,Clemson,FS,73,214,,*4.59,21,34.0,106,4.18,7.14
2001,Andre Carter,California,DE,77,249,,*4.84,20,38.5,132,4.24,
2001,Jonathan Carter,Troy,WR,73,180,,4.35,,42.5,134,4.25,7.28
2001,Quincy Carter,Georgia,QB,74,225,30,4.58,,35.5,113,4.12,7.12
2001,Quinton Caver,Arkansas,ILB,76,227,,4.67,23,37.5,118,4.25,7.66
2001,Chris Chambers,Wisconsin,WR,73,210,,*4.33,,45.0,134,4.00,
2001,Derrick Chambers,Florida,DT,76,299,,4.98,32,,,,
2001,Patrick Chukwurah,Wyoming,OLB,74,238,,4.77,24,40.0,119,4.21,7.34
2001,Tay Cody,Florida State,CB,69,181,,*4.55,11,,,,
2001,Justin Coleman,Nebraska-Kearney,QB,77,238,31,5.22,,29.5,101,4.62,7.78
2001,Derek Combs,Ohio State,RB,73,193,,4.42,8,35.0,,4.07,6.96
2001,Jameel Cook,Illinois,FB,70,226,,4.80,17,29.5,108,4.38,7.55
2001,Chris Cooper,Nebraska-Omaha,DE,77,272,,4.95,24,35.5,114,4.21,7.12
2001,Jarrod Cooper,Kansas State,SS,73,222,,4.45,,41.5,130,3.90,6.87
2001,Rodney Crayton,Auburn,CB,68,178,,4.60,13,35.5,118,4.40,7.25
2001,Rick Crowell,Colorado State,OLB,75,242,,5.03,19,31.0,109,4.30,7.54
2001,Corey Crume,Eastern Kentucky,RB,71,225,,4.76,15,37.0,,4.32,7.36
2001,Alge Crumpler,North Carolina,TE,75,266,,4.76,22,34.0,112,4.43,7.38
2001,Will Cuthbert,Alabama,OG,77,318,,5.53,17,24.5,91,5.06,8.85
2001,Ennis Davis,Southern California,DT,76,302,,*5.10,23,27.5,99,4.90,8.00
2001,Leonard Davis,Texas,OT,78,370,,5.32,33,28.0,105,5.18,8.20
