Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2014,Jared Abbrederis, Wisconsin ,WR,73,195,32,4.50,4,30.5,116,4.08,6.80
2014,Davante Adams, Fresno State ,WR,73,212,,4.56,14,39.5,123,4.30,6.82
2014,Maurice Alexander, Utah State ,SS,73,220,,4.54,,38.0,123,4.51,7.05
2014,Ricardo Allen, Purdue ,CB,69,187,,4.61,13,35.5,116,4.15,
2014,Jace Amaro, Texas Tech ,TE,77,265,,4.74,28,,116,4.30,7.42
2014,Antonio Andrews, Western Kentucky ,RB,70,225,,4.82,20,29.5,104,4.49,7.24
2014,Dri Archer, Kent State ,WR,68,173,,4.26,20,38.0,122,4.06,6.86
2014,George Atkinson, Notre Dame ,RB,73,218,,4.48,19,38.0,128,4.46,7.07
2014,Jeremiah Attaochu, Georgia Tech ,OLB,75,252,,,,,,,
2014,Dion Bailey, Southern California ,FS,73,201,,4.66,,34.0,112,4.15,6.97
2014,Anthony Barr, UCLA ,OLB,77,255,,4.66,15,34.5,117,4.19,6.82
2014,Lamin Barrow, Louisiana State ,ILB,73,237,,4.64,22,35.0,123,4.35,7.24
2014,Odell Beckham, Louisiana State ,WR,71,198,,4.43,7,38.5,122,3.94,6.69
2014,Deion Belue, Alabama ,CB,71,182,,4.48,11,,,,
2014,Kelvin Benjamin, Florida State ,WR,77,240,,4.61,13,32.5,117,4.39,7.33
2014,Bene Benwikere, San Jose State ,CB,71,195,,4.63,10,40.5,122,4.38,6.94
2014,Nat Berhe, San Diego State ,SS,71,193,,4.71,15,35.5,116,4.22,7.08
2014,Kapri Bibbs, Colorado State ,RB,69,212,,4.67,24,29.0,104,,
2014,Joel Bitonio, Nevada ,OT,76,302,,4.97,22,32.0,113,4.44,7.37
2014,Alfred Blue, Louisiana State ,RB,74,223,,4.63,13,32.0,121,4.50,7.15
2014,Russell Bodine, North Carolina ,OG,75,310,,5.18,42,29.0,109,4.66,8.26
2014,Conor Boffeli, Iowa ,OG,76,298,,5.30,21,25.0,101,4.61,7.44
2014,Chris Borland, Wisconsin ,ILB,73,248,,4.83,27,31.0,113,4.27,7.18
2014,Blake Bortles, Central Florida ,QB,77,232,,4.93,,32.5,114,,
2014,Tre Boston, North Carolina ,FS,73,204,,4.59,18,35.0,115,4.31,7.04
2014,Chris Boyd, Vanderbilt ,WR,76,206,,4.73,12,,,,
2014,Tajh Boyd, Clemson ,QB,73,222,,4.84,,30.5,104,,
2014,Carl Bradford, Arizona State ,OLB,73,250,,4.76,23,37.5,122,4.30,7.25
2014,Bashaud Breeland, Clemson ,CB,71,197,,4.62,11,34.5,123,4.33,7.04
2014,Teddy Bridgewater, Louisville ,QB,74,214,,,,30.0,112,,
2014,Justin Britt, Missouri ,OT,78,325,,5.19,23,23.0,99,4.69,8.14
2014,Jay Bromley, Syracuse ,DT,75,306,,5.06,26,33.5,104,,7.92
2014,Terrence Brooks, Florida State ,FS,71,198,,4.42,10,38.0,118,,7.35
2014,Corey Brown, Ohio State ,WR,71,178,,4.51,,33.0,115,4.22,7.16
2014,John Brown, Pittsburg State ,WR,70,179,,4.34,,36.5,117,4.12,6.91
2014,Jonathan Brown, Illinois ,OLB,73,238,,5.03,16,31.0,108,4.56,7.77
2014,Preston Brown, Louisville ,ILB,73,251,,4.86,23,33.0,115,4.26,6.98
2014,Martavis Bryant, Clemson ,WR,76,211,,4.42,16,39.0,123,4.15,7.18
2014,Deone Bucannon, Washington State ,SS,73,211,,4.49,19,36.5,124,4.26,6.96
2014,Max Bullough, Michigan State ,ILB,76,249,,4.78,30,31.0,111,4.30,7.22
2014,Isaiah Burse, Fresno State ,WR,70,188,,4.58,16,31.0,114,3.94,6.74
2014,Trey Burton, Florida ,WR,74,224,,4.62,,,111,4.32,7.14
2014,Michael Campanaro, Wake Forest ,WR,69,192,,4.46,20,39.0,122,4.01,6.77
2014,KaDeem Carey, Arizona ,RB,69,207,,4.70,19,32.5,114,4.38,7.08
2014,Derek Carr, Fresno State ,QB,74,214,,4.69,,34.5,110,,
2014,Ryan Carrethers, Arkansas State ,DT,73,337,,5.47,32,26.0,87,,7.89
2014,Travis Carrie, Ohio ,CB,73,206,,4.49,17,,,,
2014,Will Clarke, West Virginia ,DE,78,271,,4.77,22,32.0,111,,7.26
2014,HaSean Clinton-Dix, Alabama ,FS,73,208,,4.58,11,33.0,117,4.16,7.16
2014,Jadeveon Clowney, South Carolina ,DE,77,266,,4.53,21,37.5,123,,7.27
2014,Ross Cockrell, Duke ,CB,73,191,,4.56,10,36.5,122,4.32,7.28
2014,Brandon Coleman, Rutgers ,WR,78,225,,4.56,21,32.5,,4.51,7.33
2014,Deandre Coleman, California ,DT,77,314,,5.12,24,,,,
2014,Brandin Cooks, Oregon State ,WR,70,189,,4.33,16,36.0,120,3.81,6.76
2014,Damian Copeland, Louisville ,WR,71,184,,4.50,12,40.0,120,3.90,6.53
2014,J.C. Copeland, Louisiana State ,FB,71,271,,4.95,23,28.5,111,4.58,7.68
2014,Tim Cornett, UNLV ,RB,73,209,,4.48,,34.5,124,4.26,7.01
2014,Scott Crichton, Oregon State ,DE,75,273,,4.84,24,31.5,108,,7.19
2014,Isaiah Crowell, Alabama State ,RB,71,224,,4.57,23,38.0,116,,
2014,Chris Davis, Auburn ,CB,70,202,,4.54,15,,,,
2014,Mike Davis, Texas ,WR,73,197,,4.52,10,,,,
2014,Anthony Denham, Utah ,WR,77,235,,4.77,,32.5,,,
2014,Darqueze Dennard, Michigan State ,CB,71,199,,4.52,15,,,,
2014,Pierre Desir, Lindenwood ,CB,73,198,,4.59,11,35.0,133,4.30,6.86
2014,Ahmad Dixon, Baylor ,SS,73,212,,4.64,14,32.0,111,4.50,7.55
2014,Brandon Dixon, Northwest Missouri St ,CB,73,203,,4.41,17,32.5,116,4.27,7.15
2014,Aaron Donald, Pittsburgh ,DT,73,285,,4.68,35,32.0,115,,7.11
2014,Jonathan Dowling, Western Kentucky ,FS,75,190,,4.52,8,33.5,116,4.24,7.04
2014,Dakota Dozier, Furman ,OG,76,313,,5.42,23,24.0,100,4.89,8.14
2014,Joe Don Duncan, Dixie State ,TE,75,268,,4.79,35,,,,
2014,Kony Ealy, Missouri ,DE,76,273,,4.92,22,31.0,113,,6.83
2014,Dominique Easley, Florida ,DT,74,288,,4.93,26,,,,
2014,Eric Ebron, North Carolina ,TE,76,250,,4.60,24,,120,,
2014,Kasim Edebali, Boston College ,OLB,74,253,,4.79,19,34.5,114,,7.20
2014,Kadeem Edwards, Tennessee State ,OG,76,313,,5.25,26,27.0,99,4.82,7.95
2014,Bruce Ellington, South Carolina ,WR,69,197,,4.45,15,39.5,120,3.95,6.69
2014,Justin Ellis, Louisiana Tech ,DT,74,334,,5.27,25,28.0,91,,7.81
2014,IK Enemkpali, Louisiana Tech ,DE,73,261,,4.78,28,,,,7.67
2014,Quincy Enunwa, Nebraska ,WR,74,225,,4.41,19,,,,
