Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2010,Seyi Ajirotutu,Fresno State,WR,76,204,,4.60,14,36.0,115,4.39,7.22
2010,Rahim Alem,Louisiana State,DE,75,251,,4.75,,30.5,106,4.80,7.54
2010,Nate Allen,South Florida,FS,73,207,,*4.50,16,,,,
2010,Tyson Alualu,California,DE,75,295,,4.87,21,35.5,116,4.43,7.15
2010,Jon Amaya,Nevada,FS,73,203,,4.51,8,28.0,118,,
2010,Pat Angerer,Iowa,ILB,73,235,,4.71,26,35.0,110,4.29,7.04
2010,Lucien Antoine,Oklahoma State,SS,73,215,,4.62,28,32.0,120,4.47,7.38
2010,Javier Arenas,Alabama,CB,69,197,,4.60,,,112,,
2010,Alric Arnett,West Virginia,WR,74,188,,4.52,,40.0,122,4.43,7.03
2010,Larry Asante,Nebraska,SS,73,212,,4.62,14,37.5,118,4.17,7.00
2010,Geno Atkins,Georgia,DT,74,293,,4.75,34,33.0,117,4.43,7.33
2010,Kevin Basped,Nevada,DE,77,258,,4.75,26,29.0,104,4.88,7.54
2010,Zane Beadles,Utah,OG,77,310,,*5.28,27,,,,
2010,Jason Beauchamp,UNLV,ILB,75,244,,4.89,21,39.5,120,,7.10
2010,Chris Bell,Norfolk State (VA),WR,74,211,,4.50,15,35.0,117,4.35,6.76
2010,Joique Bell,Wayne State (MI),RB,71,220,,4.68,,36.5,120,4.17,6.84
2010,Arrelious Benn,Illinois,WR,73,219,,4.57,20,37.0,118,,
2010,Eric Berry,Tennessee,FS,73,211,,4.40,19,43.0,130,4.23,6.80
2010,Jahvid Best,California,RB,70,199,24,4.34,18,32.5,113,4.17,6.75
2010,Ciron Black,Louisiana State,OG,77,327,,5.53,23,25.5,,5.13,8.52
2010,LeGarrette Blount,Oregon,RB,73,241,16,4.70,18,35.0,117,4.49,6.85
2010,Kyle Bosworth,UCLA,OLB,73,236,,4.69,25,32.5,117,4.11,6.67
2010,Navorro Bowman,Penn State,OLB,73,242,,4.70,26,29.5,115,4.59,6.91
2010,Sam Bradford,Oklahoma,QB,76,236,36,*4.79,,,,,
2010,Dezmon Briscoe,Kansas,WR,74,207,,4.66,9,33.0,115,4.57,7.10
2010,Dorian Brooks,James Madison,OG,74,306,,5.15,26,23.0,100,4.66,7.73
2010,Antonio Brown,Central Michigan,WR,70,186,,4.56,13,33.5,105,4.18,6.98
2010,Charles Brown,Southern California,OT,78,303,,*5.24,21,31.5,,,
