Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2011,Sam Acho,Texas,OLB,74,262,,4.67,23,33.5,112,4.32,6.69
2011,Darvin Adams,Auburn,WR,74,190,,4.56,,,,,
2011,Olufemi Ajiboye,South Carolina,DT,73,297,,5.31,23,24.0,91,4.71,7.72
2011,Anthony Allen,Georgia Tech,RB,73,228,,4.56,24,41.5,120,4.06,6.79
2011,Armando Allen,Notre Dame,RB,68,199,,*4.52,23,,,,
2011,Cortez Allen,Citadel,CB,73,197,,4.50,18,35.5,129,4.01,6.76
2011,Prince Amukamara,Nebraska,CB,73,206,,4.38,15,38.0,128,4.08,6.97
2011,David Arkin,Missouri State,OG,77,300,,5.31,25,29.0,103,4.63,7.60
2011,Matt Asiata,Utah,RB,71,229,,4.77,22,30.0,104,4.37,7.09
2011,Marvin Austin,North Carolina,DT,74,309,,4.84,38,30.5,112,4.40,7.33
2011,Akeem Ayers,UCLA,OLB,75,254,,4.81,18,31.0,116,4.28,7.49
2011,Allen Bailey,Miami,DE,75,285,,4.71,27,36.5,117,4.56,7.43
2011,Brandon Bair,Oregon,DE,78,276,,4.92,26,28.0,114,4.37,7.07
2011,Jon Baldwin,Pittsburgh,WR,76,228,14,4.49,20,42.0,129,4.34,7.07
2011,Christian Ballard,Iowa,DE,76,283,,4.75,,31.5,111,4.51,7.54
2011,Joseph Barksdale,Louisiana State,OT,77,325,,5.31,29,29.0,103,4.75,8.27
2011,Ryan Bartholomew,Syracuse,C,73,302,,4.93,34,26.5,92,4.62,7.62
2011,Jeremy Beal,Oklahoma,ILB,74,262,,5.14,22,28.5,106,4.46,7.20
2011,Nick Bellore,Central Michigan,ILB,73,245,,4.84,23,32.5,109,4.00,6.98
2011,Damien Berry,Miami,RB,70,211,,4.58,23,33.5,120,4.12,7.00
2011,Armon Binns,Cincinnati,WR,75,209,,4.50,13,31.5,118,4.31,6.86
2011,Ahmad Black,Florida,SS,70,184,,4.70,18,35.5,119,4.20,6.85
2011,Clint Boling,Georgia,OG,77,308,,5.28,28,31.0,102,4.64,7.66
2011,Justin Boren,Ohio State,OG,75,309,,5.40,28,,,4.75,7.57
2011,DaQuan Bowers,Clemson,DE,75,280,,*4.64,22,,,,
2011,Allen Bradford,Southern California,RB,71,242,,4.53,28,29.0,113,4.39,6.97
2011,James Brewer,Indiana,OT,78,323,,5.21,25,26.0,100,4.81,7.84
2011,Niles Brinkley,Wisconsin,CB,70,193,,4.54,15,33.5,120,,7.23
2011,Chykie Brown,Texas,CB,71,190,,4.49,,36.5,120,4.00,6.50
2011,Curtis Brown,Texas,CB,73,185,,4.51,10,39.5,128,4.00,6.59
2011,DeAndre Brown,Southern Mississippi,WR,78,233,,4.59,20,29.0,117,4.33,6.93
2011,Jalil Brown,Colorado,CB,73,204,,4.52,24,35.5,116,4.25,6.85
2011,Vincent Brown,San Diego State,WR,71,187,,4.68,12,33.5,121,4.25,6.64
2011,Kendric Burney,North Carolina,CB,69,186,,4.71,14,32.5,112,,
2011,Brandon Burton,Utah,CB,73,190,,4.50,18,32.0,118,4.07,6.93
2011,Stephen Burton,West Texas A&M,WR,73,221,,4.50,19,34.5,117,4.31,7.04
2011,Mario Butler,Georgia Tech,CB,73,182,,4.65,,30.5,120,4.37,7.09
2011,Jordan Cameron,Southern California,TE,77,254,,4.53,23,37.5,119,4.03,6.82
2011,Marcus Cannon,Texas Christian,OT,77,358,,5.26,33,30.5,105,4.97,8.07
2011,Gabe Carimi,Wisconsin,OT,79,314,,5.18,29,31.5,109,,
2011,Rashad Carmichael,Virginia Tech,CB,70,192,,4.53,13,31.0,116,4.06,6.69
2011,James Carpenter,Alabama,OT,76,321,,5.22,23,,,,
2011,Bruce Carter,North Carolina,OLB,74,241,,*4.57,25,,,,
2011,Chris Carter,Fresno State,OLB,73,248,,4.58,27,36.0,114,4.34,6.88
2011,Delone Carter,Syracuse,RB,69,222,,4.54,27,37.0,120,4.07,6.92
2011,Quinton Carter,Oklahoma,FS,73,208,,4.57,23,34.5,121,4.06,7.05
2011,Jurrell Casey,Southern California,DT,73,300,,5.04,26,27.5,101,4.78,7.51
2011,Anthony Castonzo,Boston College,OT,79,311,,5.21,28,29.5,105,4.40,7.25
2011,Shaun Chapas,Georgia,FB,74,247,,4.87,23,35.5,116,4.40,7.13
2011,Chimdi Chekwa,Ohio State,CB,72,191,,4.38,,34.5,,,
2011,Ugo Chinasa,Oklahoma State,DE,77,264,,4.63,22,28.0,117,4.39,7.07
2011,Charles Clay,Tulsa,FB,75,245,,4.69,18,33.5,118,4.15,7.07
2011,John Clay,Wisconsin,RB,73,230,,4.83,,29.0,111,,
2011,Adrian Clayborn,Iowa,DE,75,281,,4.78,,33.0,113,4.13,7.30
2011,Randall Cobb,Kentucky,WR,70,191,,4.46,16,33.5,115,4.34,7.08
2011,Ryan Colburn,Fresno State,QB,75,233,,5.12,,,,4.28,6.84
2011,Chris Conte,California,FS,74,197,,4.52,18,35.5,127,4.19,7.01
2011,Graig Cooper,Miami,RB,70,205,,4.60,18,,114,4.03,6.66
2011,Vance Cuff,Georgia,CB,70,178,,4.53,,36.0,120,4.09,6.91
2011,Chris Culliver,South Carolina,FS,72,199,,4.36,,38.5,,4.08,6.88
2011,Andy Dalton,Texas Christian,QB,74,215,29,4.83,,29.5,106,4.27,6.93
2011,Wayne Daniels,Texas Christian,OLB,73,260,,5.03,,25.0,106,4.68,7.81
2011,Marcell Dareus,Alabama,DT,75,319,,4.93,24,27.0,,4.62,7.83
2011,Josh Davis,Georgia,OT,79,313,,5.50,,24.0,91,5.07,7.98
2011,Mark Dell,Michigan State,WR,72,193,,*4.54,14,,,,
2011,Akeem Dent,Georgia,ILB,73,242,,*4.78,24,37.5,,,
