Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2002,Jonathan Adams,Arkansas State,RB,73,219,,4.58,15,36.5,120,4.31,6.97
2002,P.J. Alexander,Syracuse,OG,76,299,,5.38,,29.5,102,4.73,7.90
2002,Brian Allen,Stanford,RB,69,209,,4.46,19,33.0,112,4.08,6.90
2002,James Allen,Oregon State,OLB,75,240,,4.62,24,38.0,126,4.21,7.59
2002,Jeremy Allen,Iowa,FB,73,241,,4.59,17,38.0,126,4.49,7.06
2002,Matt Anderle,Minnesota,OT,78,327,,5.50,26,29.0,104,4.80,7.99
2002,Damien Anderson,Northwestern,RB,71,211,,4.56,27,33.5,112,4.02,6.93
2002,Marques Anderson,UCLA,SS,71,213,,4.50,18,39.5,127,,
2002,Mark Anelli,Wisconsin,TE,76,262,,*4.80,18,,,,
2002,Akin Ayodele,Purdue,OLB,74,257,,4.81,26,35.0,121,4.12,7.00
2002,Chris Baker,Michigan State,TE,75,258,,4.81,18,35.0,112,,6.95
2002,Jason Ball,New Hampshire,C,74,301,,5.41,27,29.0,94,4.73,7.87
2002,Clenton Ballard,Texas State,DT,75,313,,5.18,24,26.5,93,4.64,7.47
2002,Mike Banks,Iowa State,TE,76,260,,4.84,,31.5,104,,
2002,Justin Bannan,Colorado,DT,75,300,,5.00,24,29.0,99,4.24,7.31
2002,Kevin Barry,Arizona,OG,76,325,,5.34,24,28.5,108,4.73,8.34
2002,Will Bartholomew,Tennessee,FB,73,246,,4.68,35,38.0,119,4.09,6.85
2002,Rashad Bauman,Oregon,CB,68,186,,4.44,10,39.0,118,,
2002,Jarrod Baxter,New Mexico,FB,73,245,,4.70,23,32.5,116,4.27,7.10
2002,Chad Beasley,Virginia Tech,DT,78,303,,5.15,27,31.5,104,4.60,7.75
2002,Tony Beckham,Wisconsin-Stout,CB,73,195,,4.37,15,34.5,121,4.30,7.12
2002,Kevin Bentley,Northwestern,OLB,73,243,,4.68,23,39.0,120,3.83,6.71
2002,LeCharles Bentley,Ohio State,C,75,299,,5.19,,25.5,103,4.54,7.85
2002,Rocky Bernard,Texas A&M,DT,76,294,,4.96,30,33.0,108,4.41,7.43
2002,Ladell Betts,Iowa,RB,71,220,,4.62,23,38.0,116,4.06,7.06
2002,Martin Bibla,Miami,OG,76,306,,*5.08,35,,,,
2002,Terreal Bierria,Georgia,FS,75,216,,4.61,18,36.0,130,4.10,6.93
2002,Dwayne Blakley,Missouri,TE,77,256,,4.96,21,32.5,107,4.29,7.33
2002,Rocky Boiman,Notre Dame,OLB,76,242,,4.60,17,35.0,122,4.05,6.86
2002,Bruce Branch,Penn State,CB,71,192,,4.53,,35.0,119,4.47,7.12
2002,Deion Branch,Louisville,WR,69,191,,4.47,,36.0,117,3.76,6.71
2002,Sam Brandon,UNLV,FS,74,199,,4.66,,36.5,127,,
2002,Jack Brewer,Minnesota,FS,73,194,,4.59,12,37.0,122,4.24,6.90
2002,Raheem Brock,Temple,DE,76,257,,4.93,25,34.0,115,4.23,7.09
2002,Sheldon Brown,South Carolina,CB,70,196,,4.47,15,36.5,120,4.24,7.00
2002,Antonio Bryant,Pittsburgh,WR,73,188,,4.57,,37.0,121,,
2002,Courtland Bullard,Ohio State,OLB,75,234,,4.69,,36.5,123,4.28,6.99
2002,Joe Burns,Georgia,RB,69,213,,4.81,21,31.0,105,,
2002,Jamie Burrow,Nebraska,ILB,73,249,,4.83,18,30.5,102,4.21,7.28
2002,Reche Caldwell,Florida,WR,73,194,,*4.53,,41.5,130,4.10,7.00
2002,Rocky Calmus,Oklahoma,OLB,75,243,,*4.69,16,,,,
2002,Kelly Campbell,Georgia Tech,WR,70,171,,4.48,,,,,
2002,Pete Campion,North Dakota State,OG,76,307,,5.26,30,25.5,88,4.81,7.96
2002,David Carr,Fresno State,QB,76,223,24,*4.67,,35.0,108,4.28,7.05
2002,Demontray Carter,Troy,RB,70,191,,4.52,16,33.0,120,4.36,7.38
2002,Tim Carter,Auburn,WR,73,190,,4.32,,39.0,126,3.93,6.68
2002,Rock Cartwright,Kansas State,RB,68,237,,4.47,30,35.0,116,4.25,7.18
2002,Terry Charles,Portland State (OR),WR,75,207,,4.52,,36.5,122,4.09,7.02
2002,Jermaine Chatman,Arizona,CB,71,185,,4.55,,35.5,121,,
2002,Kenyon Coleman,UCLA,DE,77,284,,*4.97,32,,,,
2002,Reggie Coleman,Tennessee,OT,77,301,,5.23,,29.0,103,4.88,7.84
2002,Michael Collins,Wake Forest,OT,78,300,,5.54,32,25.5,104,4.98,8.62
2002,Mike Collins,Ohio State,DT,75,298,,5.03,31,31.5,105,4.46,7.52
2002,Marc Colombo,Boston College,OT,80,313,,5.27,30,29.5,101,4.60,7.65
2002,Joe Cooper,Ohio State,OLB,73,233,,4.95,17,32.0,111,4.46,7.47
2002,Keyuo Craver,Nebraska,CB,71,201,,4.62,13,31.0,123,,
2002,Eric Crouch,Nebraska,RB,73,195,,4.47,,36.0,112,4.02,6.87
2002,Alonzo Cunningham,Iowa,OG,76,316,,5.46,,24.0,98,4.73,8.52
